Id,LinearSVM,NaiveBayes,Random Forest,RBF G=0.02,Average,Prediction
92,0,0,0,0,0,0
93,1,1,1,1,1,1
94,0,0,0,0,0,0
95,1,1,1,1,1,1
96,1,1,1,1,1,1
97,1,1,0,1,0.75,1
98,1,1,1,1,1,1
99,1,1,1,1,1,1
100,0,1,1,1,0.75,1
101,1,1,1,1,1,1
102,1,1,1,1,1,1
103,1,1,1,1,1,1
104,0,0,0,0,0,0
105,0,0,0,0,0,0
106,0,0,1,1,0.5,1
107,1,1,1,1,1,1
108,1,1,1,1,1,1
109,1,1,1,1,1,1
110,0,0,0,0,0,0
111,0,1,1,0,0.5,1
112,1,1,1,1,1,1
113,1,1,1,1,1,1
114,1,1,1,1,1,1
115,1,1,1,1,1,1
116,1,1,1,1,1,1
117,0,0,0,0,0,0
118,1,1,1,1,1,1
119,0,0,0,0,0,0
120,0,1,0,1,0.5,1
121,1,1,1,0,0.75,1
122,1,1,1,1,1,1
123,1,1,1,1,1,1
124,0,0,0,0,0,0
125,0,0,0,0,0,0
126,1,1,1,1,1,1
127,0,0,0,0,0,0
128,1,1,0,1,0.75,1
129,1,1,1,1,1,1
130,1,1,1,1,1,1
131,0,0,0,0,0,0
132,1,1,1,1,1,1
133,0,0,0,0,0,0
134,1,1,0,0,0.5,1
135,1,1,1,1,1,1
136,1,1,1,1,1,1
137,1,1,1,1,1,1
138,0,1,0,1,0.5,1
139,0,0,1,1,0.5,1
140,0,0,0,0,0,0
141,1,1,1,1,1,1
142,1,1,1,1,1,1
143,0,0,0,0,0,0
144,1,1,1,1,1,1
145,0,0,0,0,0,0
146,1,1,1,1,1,1
147,0,1,0,1,0.5,1
148,1,1,1,1,1,1
149,0,0,0,0,0,0
150,0,0,0,0,0,0
151,0,0,0,0,0,0
152,0,1,0,0,0.25,0
153,0,0,0,0,0,0
154,1,1,1,1,1,1
155,1,1,1,1,1,1
156,1,1,1,1,1,1
157,0,1,0,0,0.25,0
158,1,1,0,1,0.75,1
159,1,1,1,1,1,1
160,0,0,0,0,0,0
161,1,1,1,1,1,1
162,0,0,0,0,0,0
163,0,1,1,1,0.75,1
164,1,1,1,1,1,1
165,0,1,1,1,0.75,1
166,1,1,1,1,1,1
167,0,0,0,0,0,0
168,0,0,0,0,0,0
169,1,1,1,1,1,1
170,0,0,0,0,0,0
171,1,1,1,1,1,1
172,0,0,0,0,0,0
173,0,1,0,0,0.25,0
174,1,1,1,1,1,1
175,1,1,1,1,1,1
176,1,1,1,1,1,1
177,1,1,1,1,1,1
178,1,1,1,1,1,1
179,0,0,0,0,0,0
180,0,0,0,0,0,0
181,0,0,0,0,0,0
182,1,1,0,0,0.5,1
183,1,1,0,1,0.75,1
184,1,1,1,1,1,1
185,0,1,0,1,0.5,1
186,0,0,0,0,0,0
187,0,0,0,0,0,0
188,0,0,0,0,0,0
189,0,1,0,0,0.25,0
190,1,1,1,1,1,1
191,1,1,1,1,1,1
192,0,1,0,1,0.5,1
193,1,1,1,1,1,1
194,0,0,0,1,0.25,0
195,1,1,1,1,1,1
196,1,1,0,1,0.75,1
197,1,1,1,1,1,1
198,0,0,0,0,0,0
199,1,1,0,1,0.75,1
200,1,1,1,1,1,1
201,1,1,1,1,1,1
202,1,1,1,1,1,1
203,1,1,1,1,1,1
204,0,1,0,0,0.25,0
205,0,0,0,0,0,0
206,0,0,0,0,0,0
207,1,1,1,1,1,1
208,1,1,1,1,1,1
209,1,1,1,1,1,1
210,1,1,1,1,1,1
211,1,1,1,1,1,1
212,0,0,0,0,0,0
213,1,1,1,1,1,1
214,0,0,0,0,0,0
215,1,1,0,0,0.5,1
216,1,1,1,1,1,1
217,0,0,0,0,0,0
218,1,1,1,1,1,1
219,0,0,0,0,0,0
220,1,1,1,1,1,1
221,1,1,1,1,1,1
222,1,1,1,1,1,1
223,1,1,1,1,1,1
224,1,1,1,1,1,1
225,1,1,1,1,1,1
226,0,0,0,0,0,0
227,1,1,1,1,1,1
228,1,1,1,1,1,1
229,0,0,0,0,0,0
230,0,0,0,0,0,0
231,1,1,1,1,1,1
232,0,0,0,0,0,0
233,0,0,0,0,0,0
234,1,1,1,1,1,1
235,0,0,0,0,0,0
236,1,1,1,1,1,1
237,0,0,0,0,0,0
238,0,1,1,0,0.5,1
239,0,0,0,0,0,0
240,0,1,1,1,0.75,1
241,0,1,0,0,0.25,0
242,1,1,1,1,1,1
243,0,0,0,0,0,0
244,0,0,0,0,0,0
245,0,0,0,0,0,0
246,1,1,1,1,1,1
247,1,1,1,1,1,1
248,0,1,0,0,0.25,0
249,0,0,0,0,0,0
250,0,0,0,0,0,0
251,0,1,1,0,0.5,1
252,1,1,1,1,1,1
253,0,0,0,0,0,0
254,1,1,1,1,1,1
255,1,0,0,0,0.25,0
256,1,1,1,1,1,1
257,1,1,1,1,1,1
258,0,0,0,0,0,0
259,1,1,1,1,1,1
260,1,1,1,1,1,1
261,1,1,1,1,1,1
262,1,1,1,1,1,1
263,1,1,1,1,1,1
264,0,0,0,0,0,0
265,1,1,1,1,1,1
266,0,0,0,0,0,0
267,1,1,1,1,1,1
268,0,0,0,0,0,0
269,1,1,1,1,1,1
270,1,1,1,1,1,1
271,1,1,1,1,1,1
272,1,1,1,1,1,1
273,0,0,0,0,0,0
274,0,1,0,1,0.5,1
275,1,1,1,1,1,1
276,1,1,1,1,1,1
277,0,0,0,0,0,0
278,0,1,0,1,0.5,1
279,1,1,1,1,1,1
280,0,0,0,0,0,0
281,1,1,1,1,1,1
282,0,0,0,0,0,0
283,1,1,1,1,1,1
284,0,0,0,0,0,0
285,0,0,0,0,0,0
286,1,1,0,1,0.75,1
287,0,0,0,0,0,0
288,1,1,1,1,1,1
289,1,0,0,1,0.5,1
290,0,0,0,0,0,0
291,1,1,1,1,1,1
292,0,0,0,0,0,0
293,1,1,1,1,1,1
294,0,0,0,0,0,0
295,1,1,1,1,1,1
296,1,0,1,1,0.75,1
297,1,1,1,1,1,1
298,1,1,1,1,1,1
299,1,1,1,1,1,1
300,1,1,1,1,1,1
301,1,1,0,0,0.5,1
302,1,1,1,1,1,1
303,1,1,1,1,1,1
304,0,0,0,0,0,0
305,1,1,1,1,1,1
306,1,1,0,0,0.5,1
307,0,0,0,0,0,0
308,0,0,0,0,0,0
309,0,1,0,0,0.25,0
310,1,1,1,1,1,1
311,0,0,0,0,0,0
312,1,1,1,1,1,1
313,0,1,0,0,0.25,0
314,1,1,1,1,1,1
315,0,0,0,0,0,0
316,0,0,0,0,0,0
317,1,1,1,1,1,1
318,1,1,1,1,1,1
319,1,1,1,1,1,1
320,0,0,0,0,0,0
321,1,1,1,1,1,1
322,1,1,0,1,0.75,1
323,1,1,0,1,0.75,1
324,0,0,0,0,0,0
325,0,0,0,0,0,0
326,1,1,1,1,1,1
327,1,1,1,1,1,1
328,0,0,0,0,0,0
329,0,1,0,0,0.25,0
330,1,1,1,1,1,1
331,1,1,1,1,1,1
332,1,1,1,1,1,1
333,1,0,1,1,0.75,1
334,0,0,0,0,0,0
335,1,1,0,1,0.75,1
336,1,1,0,1,0.75,1
337,1,1,1,1,1,1
338,0,0,0,0,0,0
339,1,1,1,1,1,1
340,0,0,0,0,0,0
341,0,0,0,0,0,0
342,1,1,1,1,1,1
343,1,1,1,1,1,1
344,0,1,0,0,0.25,0
345,1,1,1,1,1,1
346,0,0,0,0,0,0
347,1,1,1,1,1,1
348,1,1,0,0,0.5,1
349,0,0,0,1,0.25,0
350,0,0,0,0,0,0
351,1,1,1,1,1,1
352,1,1,1,1,1,1
353,0,0,0,0,0,0
354,1,1,1,1,1,1
355,1,1,1,1,1,1
356,0,0,0,0,0,0
357,0,1,0,0,0.25,0
358,0,0,0,0,0,0
359,1,1,1,1,1,1
360,0,0,0,0,0,0
361,1,0,0,1,0.5,1
362,1,1,0,0,0.5,1
363,0,0,0,0,0,0
364,1,1,1,1,1,1
365,1,1,1,1,1,1
366,0,0,0,0,0,0
367,1,1,1,1,1,1
368,0,0,0,0,0,0
369,1,1,1,1,1,1
370,0,0,0,0,0,0
371,0,1,1,0,0.5,1
372,1,1,1,1,1,1
373,1,1,1,1,1,1
374,0,1,0,0,0.25,0
375,1,1,1,1,1,1
376,1,1,1,1,1,1
377,0,1,0,0,0.25,0
378,0,0,0,0,0,0
379,1,1,0,0,0.5,1
380,1,1,1,1,1,1
381,1,1,1,1,1,1
382,0,0,0,0,0,0
383,1,1,1,1,1,1
384,0,1,1,0,0.5,1
385,0,1,0,0,0.25,0
386,1,1,1,1,1,1
387,0,0,0,0,0,0
388,1,1,1,1,1,1
389,1,1,1,1,1,1
390,1,1,0,0,0.5,1
391,1,1,1,1,1,1
392,1,1,1,1,1,1
393,0,0,0,1,0.25,0
394,0,0,0,0,0,0
395,1,1,1,1,1,1
396,1,1,1,1,1,1
397,1,1,1,1,1,1
398,0,0,0,0,0,0
399,1,1,1,1,1,1
400,0,1,0,0,0.25,0
401,1,1,1,1,1,1
402,1,1,0,1,0.75,1
403,1,1,1,1,1,1
404,0,0,0,0,0,0
405,0,0,0,0,0,0
406,0,0,0,0,0,0
407,1,1,1,1,1,1
408,0,0,0,0,0,0
409,0,1,0,0,0.25,0
410,1,1,1,1,1,1
411,1,1,1,1,1,1
412,1,1,1,0,0.75,1
413,1,1,1,1,1,1
414,1,1,1,1,1,1
415,1,1,1,1,1,1
416,1,1,0,0,0.5,1
417,0,0,0,0,0,0
418,0,0,0,0,0,0
419,0,0,0,0,0,0
420,1,1,1,1,1,1
421,1,0,1,0,0.5,1
422,1,1,1,1,1,1
423,0,0,0,0,0,0
424,0,1,0,1,0.5,1
425,1,0,0,0,0.25,0
426,1,1,1,1,1,1
427,1,1,1,1,1,1
428,0,0,0,0,0,0
429,1,1,1,1,1,1
430,1,1,1,1,1,1
431,1,1,1,1,1,1
432,0,0,0,0,0,0
433,0,1,0,0,0.25,0
434,1,0,1,1,0.75,1
435,0,0,0,0,0,0
436,1,1,1,1,1,1
437,1,1,1,0,0.75,1
438,0,0,0,0,0,0
439,1,1,1,0,0.75,1
440,0,0,0,0,0,0
441,0,0,0,0,0,0
442,0,0,0,0,0,0
443,0,0,0,0,0,0
444,0,0,0,0,0,0
445,0,0,0,0,0,0
446,0,0,0,0,0,0
447,0,0,0,0,0,0
448,1,1,1,1,1,1
449,0,0,0,0,0,0
450,0,0,0,0,0,0
451,0,1,0,1,0.5,1
452,1,1,1,1,1,1
453,0,1,0,0,0.25,0
454,1,1,1,1,1,1
455,0,1,0,0,0.25,0
456,1,1,1,1,1,1
457,0,0,0,0,0,0
458,1,1,1,1,1,1
459,0,0,0,0,0,0
460,1,1,1,1,1,1
461,0,0,0,0,0,0
462,1,1,1,1,1,1
463,1,1,1,1,1,1
464,1,1,1,1,1,1
465,1,1,0,1,0.75,1
466,0,0,0,0,0,0
467,1,1,1,1,1,1
468,0,0,0,0,0,0
469,0,1,1,0,0.5,1
470,0,1,1,0,0.5,1
471,1,1,1,1,1,1
472,0,0,0,1,0.25,0
473,1,1,0,0,0.5,1
474,1,1,1,1,1,1
475,0,0,0,0,0,0
476,0,0,0,0,0,0
477,0,0,0,0,0,0
478,1,1,1,1,1,1
479,0,0,0,0,0,0
480,1,1,1,1,1,1
481,0,0,0,0,0,0
482,0,0,0,0,0,0
483,1,1,1,1,1,1
484,1,1,1,1,1,1
485,0,0,0,0,0,0
486,0,0,0,0,0,0
487,0,1,0,0,0.25,0
488,0,0,0,0,0,0
489,1,1,1,1,1,1
490,0,0,0,0,0,0
491,0,0,0,0,0,0
492,1,1,1,1,1,1
493,1,1,0,1,0.75,1
494,0,0,0,0,0,0
495,0,0,0,0,0,0
496,1,1,1,1,1,1
497,1,1,1,1,1,1
498,0,1,1,1,0.75,1
499,1,1,1,1,1,1
500,1,1,1,1,1,1
501,1,1,1,1,1,1
502,1,1,1,1,1,1
503,1,1,1,1,1,1
504,0,0,0,0,0,0
505,1,1,1,1,1,1
506,1,1,1,0,0.75,1
507,0,0,0,0,0,0
508,0,0,0,0,0,0
509,0,0,0,1,0.25,0
510,0,0,0,0,0,0
511,0,0,0,0,0,0
512,1,1,1,1,1,1
513,1,1,1,1,1,1
514,0,0,0,0,0,0
515,1,1,1,1,1,1
516,1,1,0,0,0.5,1
517,1,1,1,1,1,1
518,1,1,1,1,1,1
519,0,0,0,0,0,0
520,1,1,1,1,1,1
521,1,1,1,1,1,1
522,1,1,1,1,1,1
523,1,1,1,1,1,1
524,0,0,0,0,0,0
525,0,0,0,0,0,0
526,1,1,1,1,1,1
527,0,0,0,0,0,0
528,1,1,1,1,1,1
529,0,0,0,0,0,0
530,0,0,0,0,0,0
531,1,1,1,1,1,1
532,0,0,0,0,0,0
533,1,1,1,1,1,1
534,0,0,0,0,0,0
535,0,0,0,0,0,0
536,1,0,1,1,0.75,1
537,0,1,0,0,0.25,0
538,0,0,0,0,0,0
539,0,0,0,0,0,0
540,1,1,1,1,1,1
541,0,0,0,0,0,0
542,1,1,1,1,1,1
543,1,1,1,1,1,1
544,1,1,1,1,1,1
545,0,0,0,0,0,0
546,0,1,0,1,0.5,1
547,0,0,0,0,0,0
548,1,1,1,1,1,1
549,0,1,0,0,0.25,0
550,1,1,1,1,1,1
551,1,0,0,0,0.25,0
552,0,0,0,0,0,0
553,1,0,1,1,0.75,1
554,0,0,0,0,0,0
555,1,1,1,1,1,1
556,0,0,0,0,0,0
557,1,1,1,1,1,1
558,0,0,0,0,0,0
559,0,0,0,0,0,0
560,0,0,0,0,0,0
561,1,1,1,1,1,1
562,0,1,0,0,0.25,0
563,0,0,0,0,0,0
564,0,0,0,0,0,0
565,1,1,1,1,1,1
566,1,1,1,1,1,1
567,1,1,1,1,1,1
568,1,1,1,1,1,1
569,1,1,1,1,1,1
570,1,1,1,1,1,1
571,1,1,1,1,1,1
572,1,0,0,0,0.25,0
573,0,0,0,0,0,0
574,1,1,1,1,1,1
575,1,1,0,0,0.5,1
576,1,0,1,1,0.75,1
577,0,0,0,0,0,0
578,1,1,1,1,1,1
579,1,1,1,1,1,1
580,0,0,0,0,0,0
581,1,1,1,1,1,1
582,0,0,0,0,0,0
583,0,0,0,0,0,0
584,0,0,0,0,0,0
585,1,1,0,1,0.75,1
586,0,0,0,0,0,0
587,0,0,0,0,0,0
588,1,1,1,1,1,1
589,1,1,1,1,1,1
590,1,1,1,1,1,1
591,0,1,0,0,0.25,0
592,0,0,0,0,0,0
593,1,1,1,1,1,1
594,0,0,0,0,0,0
595,1,1,1,1,1,1
596,0,0,0,0,0,0
597,0,0,0,0,0,0
598,1,1,1,1,1,1
599,1,1,1,1,1,1
600,0,0,0,0,0,0
601,0,0,0,0,0,0
602,0,0,0,0,0,0
603,1,1,1,1,1,1
604,1,1,1,1,1,1
605,1,1,1,1,1,1
606,0,0,0,0,0,0
607,1,1,1,1,1,1
608,1,0,0,1,0.5,1
609,1,1,0,1,0.75,1
610,1,1,0,1,0.75,1
611,0,0,1,1,0.5,1
612,0,0,0,0,0,0
613,1,1,1,1,1,1
614,0,0,0,0,0,0
615,1,1,1,1,1,1
616,1,1,0,0,0.5,1
617,1,1,1,1,1,1
618,0,0,0,0,0,0
619,0,0,0,0,0,0
620,0,0,0,0,0,0
621,1,1,1,1,1,1
622,1,1,1,1,1,1
623,0,0,0,0,0,0
624,1,1,1,1,1,1
625,0,0,0,0,0,0
626,0,1,0,0,0.25,0
627,0,0,0,0,0,0
628,1,1,1,1,1,1
629,1,1,1,1,1,1
630,0,0,0,0,0,0
631,0,0,0,0,0,0
632,1,1,1,1,1,1
633,1,1,1,1,1,1
634,1,1,1,1,1,1
635,1,1,1,1,1,1
636,1,1,1,1,1,1
637,1,1,1,1,1,1
638,1,1,1,1,1,1
639,1,1,1,0,0.75,1
640,1,1,1,1,1,1
641,1,1,1,1,1,1
642,1,1,1,1,1,1
643,0,0,0,0,0,0
644,1,1,0,0,0.5,1
645,1,0,0,1,0.5,1
646,1,1,1,1,1,1
647,0,0,0,0,0,0
648,0,0,0,0,0,0
649,0,1,1,0,0.5,1
650,1,1,1,1,1,1
651,1,1,1,1,1,1
652,0,1,1,1,0.75,1
653,1,1,1,1,1,1
654,1,1,1,1,1,1
655,1,1,1,1,1,1
656,1,1,1,1,1,1
657,1,1,1,1,1,1
658,1,1,1,0,0.75,1
659,0,1,0,0,0.25,0
660,1,0,0,1,0.5,1
661,0,1,0,0,0.25,0
662,0,0,0,0,0,0
663,0,0,0,0,0,0
664,1,1,1,0,0.75,1
665,0,1,0,0,0.25,0
666,1,1,0,0,0.5,1
667,0,1,0,0,0.25,0
668,0,0,0,0,0,0
669,1,1,1,1,1,1
670,0,0,0,0,0,0
671,0,0,0,0,0,0
672,1,1,0,1,0.75,1
673,1,1,1,1,1,1
674,1,1,1,1,1,1
675,1,1,1,1,1,1
676,1,1,0,1,0.75,1
677,0,0,0,0,0,0
678,0,0,0,0,0,0
679,1,1,1,1,1,1
680,1,1,1,1,1,1
681,0,1,0,1,0.5,1
682,1,1,1,1,1,1
683,1,1,1,1,1,1
684,1,1,1,1,1,1
685,0,0,0,1,0.25,0
686,1,1,1,1,1,1
687,0,0,0,0,0,0
688,1,0,0,1,0.5,1
689,1,1,1,1,1,1
690,0,0,0,0,0,0
691,1,1,1,1,1,1
692,0,0,1,1,0.5,1
693,1,0,1,0,0.5,1
694,1,1,1,0,0.75,1
695,1,1,1,1,1,1
696,1,1,1,1,1,1
697,1,1,1,1,1,1
698,1,1,1,1,1,1
699,1,1,1,1,1,1
700,1,1,1,1,1,1
701,0,0,0,0,0,0
702,1,1,1,1,1,1
703,1,1,1,0,0.75,1
704,1,1,1,1,1,1
705,0,0,0,0,0,0
706,1,1,0,0,0.5,1
707,0,0,0,0,0,0
708,1,1,0,1,0.75,1
709,1,0,0,0,0.25,0
710,0,1,0,1,0.5,1
711,1,1,1,1,1,1
712,1,1,1,1,1,1
713,0,0,0,0,0,0
714,0,0,0,0,0,0
715,1,1,1,1,1,1
716,1,1,1,1,1,1
717,0,1,0,0,0.25,0
718,0,0,0,0,0,0
719,1,1,1,0,0.75,1
720,0,1,0,1,0.5,1
721,0,0,0,0,0,0
722,1,0,0,1,0.5,1
723,1,1,1,1,1,1
724,1,1,1,1,1,1
725,1,1,1,1,1,1
726,1,1,0,1,0.75,1
727,0,0,0,0,0,0
728,1,1,0,1,0.75,1
729,0,1,0,0,0.25,0
730,1,1,1,1,1,1
731,0,0,0,0,0,0
732,1,1,1,1,1,1
733,0,0,0,0,0,0
734,0,0,0,0,0,0
735,1,1,1,1,1,1
736,0,0,0,0,0,0
737,0,1,0,0,0.25,0
738,0,0,0,0,0,0
739,1,1,1,0,0.75,1
740,0,0,0,0,0,0
741,1,1,1,1,1,1
742,0,0,0,0,0,0
743,1,1,1,1,1,1
744,0,0,1,0,0.25,0
745,0,0,0,0,0,0
746,0,0,0,0,0,0
747,0,1,1,0,0.5,1
748,0,0,0,0,0,0
749,1,1,1,1,1,1
750,0,0,0,0,0,0
751,1,1,1,1,1,1
752,0,0,0,0,0,0
753,1,1,1,1,1,1
754,1,1,1,1,1,1
755,0,1,0,0,0.25,0
756,1,1,1,1,1,1
757,1,1,1,1,1,1
758,1,1,1,1,1,1
759,1,1,1,1,1,1
760,0,0,0,0,0,0
761,1,1,1,1,1,1
762,0,0,0,0,0,0
763,1,1,1,1,1,1
764,1,1,1,1,1,1
765,0,1,0,0,0.25,0
766,1,1,1,1,1,1
767,0,0,0,1,0.25,0
768,1,0,0,1,0.5,1
769,0,0,0,0,0,0
770,1,1,1,1,1,1
771,1,1,1,1,1,1
772,0,0,0,0,0,0
773,0,0,0,0,0,0
774,1,1,1,1,1,1
775,0,0,0,0,0,0
776,1,1,1,1,1,1
777,1,1,1,1,1,1
778,0,0,0,0,0,0
779,0,0,0,0,0,0
780,1,1,1,1,1,1
781,1,0,0,1,0.5,1
782,1,1,1,1,1,1
783,0,0,0,0,0,0
784,0,0,0,0,0,0
785,1,1,1,1,1,1
786,1,1,1,1,1,1
787,1,1,0,0,0.5,1
788,0,0,0,0,0,0
789,0,0,0,0,0,0
790,1,1,1,1,1,1
791,0,0,0,0,0,0
792,0,0,0,0,0,0
793,1,1,1,1,1,1
794,1,1,1,1,1,1
795,1,1,1,1,1,1
796,1,1,1,1,1,1
797,0,0,0,0,0,0
798,1,1,1,1,1,1
799,0,0,0,0,0,0
800,1,1,1,1,1,1
801,0,0,0,0,0,0
802,0,0,0,0,0,0
803,1,1,1,1,1,1
804,0,0,0,0,0,0
805,0,0,0,0,0,0
806,1,1,1,1,1,1
807,0,0,0,0,0,0
808,0,0,0,0,0,0
809,1,1,1,1,1,1
810,1,0,0,0,0.25,0
811,0,1,0,0,0.25,0
812,1,1,1,1,1,1
813,0,0,0,0,0,0
814,1,1,1,1,1,1
815,1,1,1,1,1,1
816,1,1,1,1,1,1
817,1,1,1,1,1,1
818,1,1,1,0,0.75,1
819,0,0,0,0,0,0
820,1,1,1,1,1,1
821,1,1,1,1,1,1
822,1,1,1,1,1,1
823,1,1,1,1,1,1
824,1,1,1,1,1,1
825,1,0,0,0,0.25,0
826,1,1,1,0,0.75,1
827,0,0,0,0,0,0
828,0,0,0,0,0,0
829,1,0,0,1,0.5,1
830,0,0,0,0,0,0
831,1,1,1,1,1,1
832,1,1,1,1,1,1
833,1,1,1,1,1,1
834,0,0,0,0,0,0
835,1,1,1,1,1,1
836,0,0,0,0,0,0
837,0,0,0,0,0,0
838,1,1,1,1,1,1
839,1,1,1,1,1,1
840,1,1,1,1,1,1
841,0,1,0,1,0.5,1
842,1,1,1,1,1,1
843,0,0,0,0,0,0
844,1,1,1,1,1,1
845,1,0,1,1,0.75,1
846,0,0,0,0,0,0
847,1,1,1,1,1,1
848,1,1,1,1,1,1
849,1,1,1,1,1,1
850,1,1,1,1,1,1
851,1,1,1,1,1,1
852,0,0,0,0,0,0
853,1,1,1,1,1,1
854,1,1,1,1,1,1
855,1,1,1,1,1,1
856,1,1,1,1,1,1
857,1,1,1,1,1,1
858,0,0,0,0,0,0
859,1,1,1,1,1,1
860,1,1,1,1,1,1
861,1,1,1,1,1,1
862,1,1,1,1,1,1
863,1,1,1,1,1,1
864,1,1,1,1,1,1
865,1,1,1,1,1,1
866,1,1,1,1,1,1
867,1,0,1,0,0.5,1
868,1,1,0,0,0.5,1
869,0,0,0,0,0,0
870,0,0,0,0,0,0
871,1,1,1,1,1,1
872,0,0,0,0,0,0
873,0,0,0,0,0,0
874,1,1,1,1,1,1
875,0,1,1,1,0.75,1
876,1,1,1,1,1,1
877,0,0,0,0,0,0
878,0,0,0,0,0,0
879,0,0,0,0,0,0
880,1,1,1,1,1,1
881,1,1,0,1,0.75,1
882,1,1,1,1,1,1
883,1,1,1,1,1,1
884,1,1,1,1,1,1
885,1,1,1,1,1,1
886,0,0,0,0,0,0
887,0,0,0,0,0,0
888,1,1,1,0,0.75,1
889,0,0,0,0,0,0
890,0,0,0,0,0,0
891,0,1,0,0,0.25,0
892,0,0,0,0,0,0
893,1,1,1,1,1,1
894,1,1,1,1,1,1
895,1,1,1,1,1,1
896,0,0,0,0,0,0
897,0,1,0,0,0.25,0
898,1,0,1,1,0.75,1
899,0,0,0,0,0,0
900,1,1,1,1,1,1
901,1,1,1,1,1,1
902,1,1,1,1,1,1
903,0,0,0,0,0,0
904,0,0,0,0,0,0
905,0,0,0,0,0,0
906,1,1,1,1,1,1
907,0,0,0,0,0,0
908,1,1,1,1,1,1
909,0,1,0,1,0.5,1
910,1,1,1,1,1,1
911,1,1,1,1,1,1
912,1,1,1,0,0.75,1
913,0,0,0,0,0,0
914,0,0,0,0,0,0
915,1,1,1,1,1,1
916,1,1,1,1,1,1
917,1,1,1,1,1,1
918,1,1,1,1,1,1
919,1,0,1,1,0.75,1
920,0,1,0,1,0.5,1
921,1,1,1,1,1,1
922,1,1,0,1,0.75,1
923,0,0,0,0,0,0
924,0,0,0,0,0,0
925,0,0,0,0,0,0
926,0,0,0,0,0,0
927,1,0,1,1,0.75,1
928,1,1,1,1,1,1
929,0,1,1,1,0.75,1
930,1,1,1,1,1,1
931,1,1,1,1,1,1
932,1,1,1,1,1,1
933,1,1,1,1,1,1
934,1,1,1,1,1,1
935,1,0,1,1,0.75,1
936,0,0,0,0,0,0
937,1,0,0,0,0.25,0
938,1,0,1,1,0.75,1
939,1,1,1,1,1,1
940,1,1,1,1,1,1
941,0,0,0,0,0,0
942,1,1,1,1,1,1
943,0,0,0,0,0,0
944,1,1,1,1,1,1
945,1,1,1,1,1,1
946,1,1,1,1,1,1
947,1,1,1,1,1,1
948,1,1,1,1,1,1
949,1,1,0,0,0.5,1
950,0,0,0,0,0,0
951,0,0,0,0,0,0
952,1,1,1,1,1,1
953,0,1,0,0,0.25,0
954,1,0,0,1,0.5,1
955,1,1,1,1,1,1
956,0,0,0,0,0,0
957,1,1,1,0,0.75,1
958,1,1,1,1,1,1
959,1,1,1,0,0.75,1
960,1,1,1,1,1,1
961,1,1,1,1,1,1
962,1,1,1,1,1,1
963,1,1,1,1,1,1
964,0,0,0,0,0,0
